iter	Passed	Remaining
0	0	52
1	0	45
2	1	42
3	1	39
4	2	39
5	2	40
6	3	40
7	3	40
8	3	40
9	4	39
10	4	38
11	5	37
12	5	37
13	5	36
14	6	35
15	6	35
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	29
27	11	29
28	11	29
29	12	28
30	12	28
31	13	27
32	13	27
33	14	27
34	14	26
35	14	26
36	15	25
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	20	18
52	20	18
53	21	18
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	22	15
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	28	11
71	28	11
72	28	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	33	6
83	33	6
84	33	5
85	34	5
86	34	5
87	35	4
88	35	4
89	35	3
90	36	3
91	36	3
92	37	2
93	37	2
94	37	1
95	38	1
96	38	1
97	38	0
98	39	0
99	39	0
