iter	Passed	Remaining
0	57	57584
1	58	29116
2	58	19555
3	59	14772
4	59	11906
5	60	9969
6	60	8611
7	61	7575
8	61	6769
9	61	6129
10	62	5599
11	62	5176
12	63	4807
13	63	4490
14	64	4209
15	64	3962
16	64	3754
17	65	3566
18	65	3402
19	66	3245
20	66	3105
21	67	2985
22	67	2870
23	67	2762
24	68	2665
25	68	2577
26	69	2497
27	69	2419
28	70	2349
29	70	2284
30	71	2220
31	71	2164
32	71	2107
33	72	2051
34	72	2004
35	73	1954
36	73	1908
37	73	1865
38	74	1825
39	74	1785
40	74	1750
41	75	1715
42	75	1683
43	76	1655
44	76	1622
45	76	1592
46	77	1564
47	77	1537
48	78	1525
49	78	1499
50	79	1474
51	79	1452
52	80	1431
53	80	1409
54	80	1388
55	81	1367
56	81	1349
57	82	1341
58	83	1325
59	83	1307
60	84	1293
61	84	1276
62	84	1260
63	85	1245
64	85	1232
65	86	1218
66	86	1206
67	87	1194
68	87	1182
69	88	1170
70	88	1158
71	88	1146
72	89	1135
73	89	1123
74	90	1113
75	90	1101
76	91	1092
77	92	1089
78	92	1079
79	93	1069
80	93	1058
81	93	1047
82	93	1035
83	94	1025
84	94	1017
85	94	1007
86	95	1000
87	95	991
88	95	981
89	96	974
90	96	968
91	97	963
92	98	955
93	98	949
94	98	942
95	99	934
96	99	926
97	99	919
98	100	913
99	100	907
100	101	904
101	102	899
102	102	892
103	103	888
104	103	882
105	103	876
106	104	870
107	104	864
108	105	858
109	105	853
110	105	847
111	106	841
112	106	836
113	107	831
114	107	828
115	108	824
116	108	819
117	108	814
118	109	809
119	109	804
120	110	799
121	110	794
122	110	789
123	111	785
124	111	779
125	111	775
126	112	770
127	112	767
128	113	765
129	113	762
130	114	758
131	114	753
132	114	749
133	115	745
134	115	741
135	116	737
136	116	735
137	117	731
138	117	727
139	117	724
140	118	720
141	118	717
142	118	713
143	120	714
144	120	710
145	120	706
146	121	702
147	121	699
148	122	696
149	122	694
150	122	691
151	123	689
152	124	686
153	124	684
154	124	680
155	125	678
156	125	674
157	126	671
158	126	668
159	126	666
160	127	662
161	127	659
162	127	657
163	128	653
164	128	651
165	129	648
166	129	646
167	130	644
168	130	642
169	131	641
170	131	639
171	132	637
172	132	635
173	133	632
174	133	630
175	134	630
176	135	628
177	135	626
178	136	624
179	136	622
180	136	619
181	137	617
182	138	616
183	138	614
184	138	611
185	139	609
186	139	606
187	140	605
188	140	604
189	141	602
190	141	600
191	142	598
192	142	597
193	143	596
194	143	594
195	144	591
196	145	593
197	145	591
198	146	590
199	147	588
200	147	585
201	147	583
202	148	581
203	148	579
204	148	576
205	149	575
206	149	573
207	149	570
208	150	570
209	151	569
210	151	567
211	152	566
212	152	564
213	153	562
214	153	560
215	154	559
216	154	556
217	154	555
218	155	553
219	155	551
220	156	553
221	157	551
222	157	549
223	158	548
224	158	546
225	158	544
226	159	542
227	159	541
228	160	539
229	160	537
230	161	536
231	161	534
232	161	532
233	162	531
234	162	529
235	163	528
236	163	526
237	164	525
238	164	523
239	164	522
240	165	520
241	165	519
242	166	517
243	166	517
244	167	515
245	167	514
246	168	513
247	168	511
248	168	509
249	169	507
250	169	506
251	169	504
252	170	502
253	170	501
254	171	500
255	171	498
256	172	497
257	172	496
258	172	494
259	173	493
260	173	491
261	174	490
262	174	489
263	174	487
264	175	486
265	175	485
266	176	484
267	176	483
268	177	482
269	177	481
270	178	479
271	178	478
272	179	477
273	179	476
274	180	474
275	180	473
276	180	471
277	181	471
278	181	469
279	182	468
280	182	467
281	183	466
282	183	465
283	184	463
284	184	462
